run_number,ifrs_17_group,underlying_group,variable,run_step,currency
,,,CF_BEL_CUSTOM_OTHER_LIC_MOP,LIC_OPENING_CURRENT,
,,,CF_BEL_CUSTOM_OTHER_VAR_LIC_BOP,LIC_OPENING_CURRENT,
,,,CF_BEL_CUSTOM_OTHER_VAR_LIC_EOP,LIC_OPENING_CURRENT,
,,,CF_BEL_CUSTOM_OTHER_VAR_LIC_MOP,LIC_OPENING_CURRENT,
,,,CF_BEL_E_FUT_LIC_BOP,LIC_OPENING_CURRENT,
,,,CF_BEL_E_FUT_LIC_EOP,LIC_OPENING_CURRENT,
,,,CF_BEL_E_FUT_LIC_MOP,LIC_OPENING_CURRENT,
,,,CF_BEL_E_LIC_BOP,LIC_OPENING_CURRENT,
,,,CF_BEL_E_LIC_EOP,LIC_OPENING_CURRENT,
,,,CF_BEL_E_LIC_MOP,LIC_OPENING_CURRENT,
,,,CF_BEL_E_VAR_LIC_BOP,LIC_OPENING_CURRENT,
,,,CF_BEL_E_VAR_LIC_EOP,LIC_OPENING_CURRENT,
,,,CF_BEL_E_VAR_LIC_MOP,LIC_OPENING_CURRENT,
,,,CF_BEL_IC_LIC_BOP,LIC_OPENING_CURRENT,
,,,CF_BEL_IC_LIC_EOP,LIC_OPENING_CURRENT,
,,,CF_BEL_IC_LIC_MOP,LIC_OPENING_CURRENT,
,,,CF_RA_LIC_BOP,LIC_OPENING_CURRENT,
,,,CF_RA_LIC_EOP,LIC_OPENING_CURRENT,
,,,CF_RA_LIC_MOP,LIC_OPENING_CURRENT,
,,,LIC,LIC_OPENING_CURRENT,
,,,RA_LIC,LIC_OPENING_CURRENT,
,,,RA_LIC_FX_IMPACT,LIC_OPENING_CURRENT,
,,,BEL_B_LIC,LIC_CHANGE_IN_DR_SOP,
,,,BEL_B_VAR_LIC,LIC_CHANGE_IN_DR_SOP,
,,,BEL_B_VAR_LIC_FX_IMPACT,LIC_CHANGE_IN_DR_SOP,
,,,BEL_CUSTOM_OTHER_FUT_LIC,LIC_CHANGE_IN_DR_SOP,
,,,BEL_CUSTOM_OTHER_FUT_LIC_FX_IMPACT,LIC_CHANGE_IN_DR_SOP,
,,,BEL_CUSTOM_OTHER_LIC,LIC_CHANGE_IN_DR_SOP,
,,,BEL_CUSTOM_OTHER_LIC_FX_IMPACT,LIC_CHANGE_IN_DR_SOP,
,,,BEL_CUSTOM_OTHER_VAR_LIC,LIC_CHANGE_IN_DR_SOP,
,,,BEL_CUSTOM_OTHER_VAR_LIC_FX_IMPACT,LIC_CHANGE_IN_DR_SOP,
,,,BEL_E_FUT_LIC,LIC_CHANGE_IN_DR_SOP,
,,,BEL_E_FUT_LIC_FX_IMPACT,LIC_CHANGE_IN_DR_SOP,
,,,BEL_E_LIC,LIC_CHANGE_IN_DR_SOP,
,,,BEL_E_VAR_LIC,LIC_CHANGE_IN_DR_SOP,
,,,BEL_E_VAR_LIC_FX_IMPACT,LIC_CHANGE_IN_DR_SOP,
,,,BEL_IC_LIC,LIC_CHANGE_IN_DR_SOP,
,,,BEL_LIC,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_B_LIC_BOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_B_LIC_EOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_B_LIC_MOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_B_VAR_LIC_BOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_B_VAR_LIC_EOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_B_VAR_LIC_MOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_CUSTOM_OTHER_FUT_LIC_BOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_CUSTOM_OTHER_FUT_LIC_EOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_CUSTOM_OTHER_FUT_LIC_MOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_CUSTOM_OTHER_LIC_BOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_CUSTOM_OTHER_LIC_EOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_CUSTOM_OTHER_LIC_MOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_CUSTOM_OTHER_VAR_LIC_BOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_CUSTOM_OTHER_VAR_LIC_EOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_CUSTOM_OTHER_VAR_LIC_MOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_E_FUT_LIC_BOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_E_FUT_LIC_EOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_E_FUT_LIC_MOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_E_LIC_BOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_E_LIC_EOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_E_LIC_MOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_E_VAR_LIC_BOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_E_VAR_LIC_EOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_E_VAR_LIC_MOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_IC_LIC_BOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_IC_LIC_EOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_BEL_IC_LIC_MOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_RA_LIC_BOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_RA_LIC_EOP,LIC_CHANGE_IN_DR_SOP,
,,,CF_RA_LIC_MOP,LIC_CHANGE_IN_DR_SOP,
,,,DELTA_BEL_B_LIC,LIC_CHANGE_IN_DR_SOP,
,,,DELTA_BEL_B_LIC_FX_IMPACT,LIC_CHANGE_IN_DR_SOP,
,,,DELTA_BEL_B_VAR_LIC,LIC_CHANGE_IN_DR_SOP,
,,,DELTA_BEL_B_VAR_LIC_FX_IMPACT,LIC_CHANGE_IN_DR_SOP,
,,,DELTA_BEL_CUSTOM_OTHER_FUT_LIC,LIC_CHANGE_IN_DR_SOP,
,,,DELTA_BEL_CUSTOM_OTHER_FUT_LIC_FX_IMPACT,LIC_CHANGE_IN_DR_SOP,
,,,DELTA_BEL_CUSTOM_OTHER_LIC,LIC_CHANGE_IN_DR_SOP,
,,,DELTA_BEL_CUSTOM_OTHER_LIC_FX_IMPACT,LIC_CHANGE_IN_DR_SOP,
,,,DELTA_BEL_CUSTOM_OTHER_VAR_LIC,LIC_CHANGE_IN_DR_SOP,
,,,DELTA_BEL_CUSTOM_OTHER_VAR_LIC_FX_IMPACT,LIC_CHANGE_IN_DR_SOP,
,,,DELTA_BEL_E_FUT_LIC,LIC_CHANGE_IN_DR_SOP,
,,,DELTA_BEL_E_FUT_LIC_FX_IMPACT,LIC_CHANGE_IN_DR_SOP,
,,,DELTA_BEL_E_LIC,LIC_CHANGE_IN_DR_SOP,
,,,DELTA_BEL_E_LIC_FX_IMPACT,LIC_CHANGE_IN_DR_SOP,
,,,DELTA_BEL_E_VAR_LIC,LIC_CHANGE_IN_DR_SOP,
,,,DELTA_BEL_E_VAR_LIC_FX_IMPACT,LIC_CHANGE_IN_DR_SOP,
,,,DELTA_BEL_IC_LIC,LIC_CHANGE_IN_DR_SOP,
,,,DELTA_BEL_IC_LIC_FX_IMPACT,LIC_CHANGE_IN_DR_SOP,
,,,DELTA_BEL_LIC,LIC_CHANGE_IN_DR_SOP,
,,,DELTA_LIC,LIC_CHANGE_IN_DR_SOP,
,,,DELTA_RA_LIC,LIC_CHANGE_IN_DR_SOP,
,,,DELTA_RA_LIC_FX_IMPACT,LIC_CHANGE_IN_DR_SOP,
,,,LIC,LIC_CHANGE_IN_DR_SOP,
,,,RA_LIC,LIC_CHANGE_IN_DR_SOP,
,,,B_ACT,LIC_NC_RECOGNITION,
,,,B_ACT_BEL,LIC_NC_RECOGNITION,
,,,B_ACT_BEL_CUR,LIC_NC_RECOGNITION,
,,,B_ACT_RA,LIC_NC_RECOGNITION,
,,,B_PAID_CUR_SUM,LIC_NC_RECOGNITION,
,,,B_VAR_ACT,LIC_NC_RECOGNITION,
,,,B_VAR_ACT_BEL,LIC_NC_RECOGNITION,
,,,B_VAR_ACT_BEL_CUR,LIC_NC_RECOGNITION,
,,,B_VAR_PAID_CUR_SUM,LIC_NC_RECOGNITION,
,,,BEL_B_LIC,LIC_NC_RECOGNITION,
,,,BEL_B_VAR_LIC,LIC_NC_RECOGNITION,
,,,BEL_CUSTOM_OTHER_FUT_LIC,LIC_NC_RECOGNITION,
,,,BEL_CUSTOM_OTHER_LIC,LIC_NC_RECOGNITION,
,,,BEL_CUSTOM_OTHER_VAR_LIC,LIC_NC_RECOGNITION,
,,,BEL_E_FUT_LIC,LIC_NC_RECOGNITION,
,,,BEL_E_LIC,LIC_NC_RECOGNITION,
,,,BEL_E_VAR_LIC,LIC_NC_RECOGNITION,
,,,BEL_IC_LIC,LIC_NC_RECOGNITION,
,,,BEL_LIC,LIC_NC_RECOGNITION,
,,,CF_BEL_B_LIC_BOP,LIC_NC_RECOGNITION,
,,,CF_BEL_B_LIC_EOP,LIC_NC_RECOGNITION,
,,,CF_BEL_B_LIC_MOP,LIC_NC_RECOGNITION,
,,,CF_BEL_E_LIC_BOP,LIC_NC_RECOGNITION,
,,,CF_BEL_E_LIC_EOP,LIC_NC_RECOGNITION,
,,,CF_BEL_E_LIC_MOP,LIC_NC_RECOGNITION,
,,,CUSTOM_OTHER_ACT,LIC_NC_RECOGNITION,
,,,CUSTOM_OTHER_ACT_BEL,LIC_NC_RECOGNITION,
,,,CUSTOM_OTHER_ACT_BEL_CUR,LIC_NC_RECOGNITION,
,,,CUSTOM_OTHER_ACT_RA,LIC_NC_RECOGNITION,
,,,CUSTOM_OTHER_FUT_ACT,LIC_NC_RECOGNITION,
,,,CUSTOM_OTHER_FUT_ACT_BEL,LIC_NC_RECOGNITION,
,,,CUSTOM_OTHER_FUT_ACT_BEL_CUR,LIC_NC_RECOGNITION,
,,,CUSTOM_OTHER_FUT_PAID_CUR_SUM,LIC_NC_RECOGNITION,
,,,CUSTOM_OTHER_PAID_CUR_SUM,LIC_NC_RECOGNITION,
,,,CUSTOM_OTHER_VAR_ACT,LIC_NC_RECOGNITION,
,,,CUSTOM_OTHER_VAR_ACT_BEL,LIC_NC_RECOGNITION,
,,,CUSTOM_OTHER_VAR_ACT_BEL_CUR,LIC_NC_RECOGNITION,
,,,CUSTOM_OTHER_VAR_PAID_CUR_SUM,LIC_NC_RECOGNITION,
,,,DELTA_BEL_B_LIC,LIC_NC_RECOGNITION,
,,,DELTA_BEL_B_VAR_LIC,LIC_NC_RECOGNITION,
,,,DELTA_BEL_CUSTOM_OTHER_FUT_LIC,LIC_NC_RECOGNITION,
,,,DELTA_BEL_CUSTOM_OTHER_LIC,LIC_NC_RECOGNITION,
,,,DELTA_BEL_CUSTOM_OTHER_VAR_LIC,LIC_NC_RECOGNITION,
,,,DELTA_BEL_E_FUT_LIC,LIC_NC_RECOGNITION,
,,,DELTA_BEL_E_LIC,LIC_NC_RECOGNITION,
,,,DELTA_BEL_E_VAR_LIC,LIC_NC_RECOGNITION,
,,,DELTA_BEL_IC_LIC,LIC_NC_RECOGNITION,
,,,DELTA_BEL_LIC,LIC_NC_RECOGNITION,
,,,DELTA_LIC,LIC_NC_RECOGNITION,
,,,DELTA_RA_LIC,LIC_NC_RECOGNITION,
,,,E_ACT,LIC_NC_RECOGNITION,
,,,E_ACT_BEL,LIC_NC_RECOGNITION,
,,,E_ACT_BEL_CUR,LIC_NC_RECOGNITION,
,,,E_ACT_RA,LIC_NC_RECOGNITION,
,,,E_FUT_ACT,LIC_NC_RECOGNITION,
,,,E_FUT_ACT_BEL,LIC_NC_RECOGNITION,
,,,E_FUT_ACT_BEL_CUR,LIC_NC_RECOGNITION,
,,,E_FUT_PAID_CUR_SUM,LIC_NC_RECOGNITION,
,,,E_PAID_CUR_SUM,LIC_NC_RECOGNITION,
,,,E_VAR_ACT,LIC_NC_RECOGNITION,
,,,E_VAR_ACT_BEL,LIC_NC_RECOGNITION,
,,,E_VAR_ACT_BEL_CUR,LIC_NC_RECOGNITION,
,,,E_VAR_PAID_CUR_SUM,LIC_NC_RECOGNITION,
,,,IC_ACT,LIC_NC_RECOGNITION,
,,,IC_ACT_BEL,LIC_NC_RECOGNITION,
,,,IC_ACT_BEL_CUR,LIC_NC_RECOGNITION,
,,,IC_PAID_CUR_SUM,LIC_NC_RECOGNITION,
,,,LIC,LIC_NC_RECOGNITION,
,,,RA_LIC,LIC_NC_RECOGNITION,
,,,BEL_B_LIC,LIC_NC_TO_IF,
,,,BEL_B_VAR_LIC,LIC_NC_TO_IF,
,,,BEL_CUSTOM_OTHER_FUT_LIC,LIC_NC_TO_IF,
,,,BEL_CUSTOM_OTHER_LIC,LIC_NC_TO_IF,
,,,BEL_CUSTOM_OTHER_VAR_LIC,LIC_NC_TO_IF,
,,,BEL_E_FUT_LIC,LIC_NC_TO_IF,
,,,BEL_E_LIC,LIC_NC_TO_IF,
,,,BEL_E_VAR_LIC,LIC_NC_TO_IF,
,,,BEL_IC_LIC,LIC_NC_TO_IF,
,,,BEL_LIC,LIC_NC_TO_IF,
,,,CF_BEL_B_LIC_BOP,LIC_NC_TO_IF,
,,,CF_BEL_B_LIC_EOP,LIC_NC_TO_IF,
,,,CF_BEL_B_LIC_MOP,LIC_NC_TO_IF,
,,,CF_BEL_B_VAR_LIC_BOP,LIC_NC_TO_IF,
,,,CF_BEL_B_VAR_LIC_EOP,LIC_NC_TO_IF,
,,,CF_BEL_B_VAR_LIC_MOP,LIC_NC_TO_IF,
,,,CF_BEL_CUSTOM_OTHER_FUT_LIC_BOP,LIC_NC_TO_IF,
,,,CF_BEL_CUSTOM_OTHER_FUT_LIC_EOP,LIC_NC_TO_IF,
,,,CF_BEL_CUSTOM_OTHER_FUT_LIC_MOP,LIC_NC_TO_IF,
,,,CF_BEL_CUSTOM_OTHER_LIC_BOP,LIC_NC_TO_IF,
,,,CF_BEL_CUSTOM_OTHER_LIC_EOP,LIC_NC_TO_IF,
,,,CF_BEL_CUSTOM_OTHER_LIC_MOP,LIC_NC_TO_IF,
,,,CF_BEL_CUSTOM_OTHER_VAR_LIC_BOP,LIC_NC_TO_IF,
,,,CF_BEL_CUSTOM_OTHER_VAR_LIC_EOP,LIC_NC_TO_IF,
,,,CF_BEL_CUSTOM_OTHER_VAR_LIC_MOP,LIC_NC_TO_IF,
,,,CF_BEL_E_FUT_LIC_BOP,LIC_NC_TO_IF,
,,,CF_BEL_E_FUT_LIC_EOP,LIC_NC_TO_IF,
,,,CF_BEL_E_FUT_LIC_MOP,LIC_NC_TO_IF,
,,,CF_BEL_E_LIC_BOP,LIC_NC_TO_IF,
,,,CF_BEL_E_LIC_EOP,LIC_NC_TO_IF,
,,,CF_BEL_E_LIC_MOP,LIC_NC_TO_IF,
,,,CF_BEL_E_VAR_LIC_BOP,LIC_NC_TO_IF,
,,,CF_BEL_E_VAR_LIC_EOP,LIC_NC_TO_IF,
,,,CF_BEL_E_VAR_LIC_MOP,LIC_NC_TO_IF,
,,,CF_BEL_IC_LIC_BOP,LIC_NC_TO_IF,
,,,CF_BEL_IC_LIC_EOP,LIC_NC_TO_IF,
,,,CF_BEL_IC_LIC_MOP,LIC_NC_TO_IF,
,,,LIC,LIC_NC_TO_IF,
,,,RA_LIC,LIC_NC_TO_IF,
,,,BEL_B_LIC,LIC_INTEREST_ACCRETION,
,,,BEL_B_VAR_LIC,LIC_INTEREST_ACCRETION,
,,,BEL_CUSTOM_OTHER_FUT_LIC,LIC_INTEREST_ACCRETION,
,,,BEL_CUSTOM_OTHER_LIC,LIC_INTEREST_ACCRETION,
,,,BEL_CUSTOM_OTHER_VAR_LIC,LIC_INTEREST_ACCRETION,
,,,BEL_E_FUT_LIC,LIC_INTEREST_ACCRETION,
,,,BEL_E_LIC,LIC_INTEREST_ACCRETION,
,,,BEL_E_VAR_LIC,LIC_INTEREST_ACCRETION,
,,,BEL_IC_LIC,LIC_INTEREST_ACCRETION,
,,,BEL_LIC,LIC_INTEREST_ACCRETION,
,,,CF_BEL_B_LIC_BOP,LIC_INTEREST_ACCRETION,
,,,CF_BEL_B_LIC_BOP_SUM,LIC_INTEREST_ACCRETION,
,,,CF_BEL_B_LIC_EOP,LIC_INTEREST_ACCRETION,
,,,CF_BEL_B_LIC_EOP_SUM,LIC_INTEREST_ACCRETION,
,,,CF_BEL_B_LIC_MOP,LIC_INTEREST_ACCRETION,
,,,CF_BEL_B_LIC_MOP_SUM,LIC_INTEREST_ACCRETION,
,,,CF_BEL_B_VAR_LIC_BOP,LIC_INTEREST_ACCRETION,
,,,CF_BEL_B_VAR_LIC_BOP_SUM,LIC_INTEREST_ACCRETION,
,,,CF_BEL_B_VAR_LIC_EOP,LIC_INTEREST_ACCRETION,
,,,CF_BEL_B_VAR_LIC_EOP_SUM,LIC_INTEREST_ACCRETION,
,,,CF_BEL_B_VAR_LIC_MOP,LIC_INTEREST_ACCRETION,
,,,CF_BEL_B_VAR_LIC_MOP_SUM,LIC_INTEREST_ACCRETION,
