run_number,ifrs_17_group,underlying_group,variable,run_step,currency,2020-09-30,2020-10-31,2020-11-30,2020-12-31
145.0,BAF_BAH_Mort_Burial_2020_Remaining,,PV_AQE_FUT,PAA_AMORTIZATION,,0,0,0,0
145.0,BAF_BAH_Mort_Burial_2020_Remaining,,A_AQE_PERCENT,PAA_AMORTIZATION,,0,0,0,0
145.0,BAF_BAH_Mort_Burial_2020_Remaining,,AQE_FUT_SER,PAA_AMORTIZATION,,0,0,0,0
145.0,BAF_BAH_Mort_Burial_2020_Remaining,,D_AQE,PAA_AMORTIZATION,,0,0,0,0
145.0,BAF_BAH_Mort_Burial_2020_Remaining,,DELTA_LRC_AQE,PAA_AMORTIZATION,,0,0,0,0
145.0,BAF_BAH_Mort_Burial_2020_Remaining,,LRC_AQE,PAA_AMORTIZATION,,0,0,0,0
145.0,BAF_BAH_Mort_Burial_2020_Remaining,,CUR_SER,PAA_AMORTIZATION,,0,0,0,0
145.0,BAF_BAH_Mort_Burial_2020_Remaining,,AMORTIZED_EP,PAA_AMORTIZATION,,0,0,0,1148203
145.0,BAF_BAH_Mort_Burial_2020_Remaining,,IC_ACT,PAA_AMORTIZATION,,0,0,0,0
145.0,BAF_BAH_Mort_Burial_2020_Remaining,,DELTA_LRC_P,PAA_AMORTIZATION,,0,0,0,-1148203
145.0,BAF_BAH_Mort_Burial_2020_Remaining,,PV_P_FUT,PAA_AMORTIZATION,,0,0,0,0
145.0,BAF_BAH_Mort_Burial_2020_Remaining,,FUT_SER,PAA_AMORTIZATION,,0,0,0,0
145.0,BAF_BAH_Mort_Burial_2020_Remaining,,LRC,PAA_AMORTIZATION,,0,0,0,1206170
145.0,BAF_BAH_Mort_Burial_2020_Remaining,,LRC_P,PAA_AMORTIZATION,,0,0,0,1206170
145.0,BAF_BAH_Mort_Burial_2020_Remaining,,UNAMORTIZED_EP,PAA_AMORTIZATION,,0,0,0,0
145.0,BAF_BAH_Mort_Burial_2020_Remaining,,UNAMORTIZED_EP_PERCENT,PAA_AMORTIZATION,,0,0,0,0
146.0,,,LRC,PAA_CHANGE_IN_ESTIMATES_FS,,0,0,0,1206170
146.0,,,FLAG_LC,PAA_CHANGE_IN_ESTIMATES_FS,,0,0,0,0
146.0,,,DELTA_LRC_LRECC,PAA_CHANGE_IN_ESTIMATES_FS,,0,0,0,0
146.0,,,DELTA_LRC,PAA_CHANGE_IN_ESTIMATES_FS,,0,0,0,0
146.0,,,LRC_LRECC,PAA_CHANGE_IN_ESTIMATES_FS,,0,0,0,0
146.0,,,FLAG_LRECC,PAA_CHANGE_IN_ESTIMATES_FS,,0,0,0,-2412340
146.0,,,PAA_LRECC_REVERSAL,PAA_CHANGE_IN_ESTIMATES_FS,,0,0,0,2412340
146.0,,,LRC_LRECC_INTERIM,PAA_CHANGE_IN_ESTIMATES_FS,,0,0,0,0
146.0,,,BEL_IFRS17_GMM,PAA_CHANGE_IN_ESTIMATES_FS,,0,0,0,0
146.0,,,RA_GMM,PAA_CHANGE_IN_ESTIMATES_FS,,0,0,0,0
160.0,,,DELTA_LRC,PAA_CHANGE_IN_DR_EOP,,0,0,0,0
160.0,,,LRC,PAA_CHANGE_IN_DR_EOP,,0,0,0,1206170
160.0,,,FLAG_LC,PAA_CHANGE_IN_DR_EOP,,0,0,0,0
160.0,,,FLAG_LRECC,PAA_CHANGE_IN_DR_EOP,,0,0,0,0
160.0,,,LRC_LRECC,PAA_CHANGE_IN_DR_EOP,,0,0,0,0
160.0,,,PAA_LRECC_REVERSAL,PAA_CHANGE_IN_DR_EOP,,0,0,0,0
160.0,,,LRC_LRECC_INTERIM,PAA_CHANGE_IN_DR_EOP,,0,0,0,0
160.0,,,DELTA_LRC_LRECC,PAA_CHANGE_IN_DR_EOP,,0,0,0,0
199.0,,,ICV,PAA_CLOSING_CURRENT,,0,0,0,702891
199.0,,,LIC,PAA_CLOSING_CURRENT,,0,0,0,-503279
199.0,,,LRC,PAA_CLOSING_CURRENT,,0,0,0,1206170
199.0,,,LRC_AQE,PAA_CLOSING_CURRENT,,0,0,0,0
199.0,,,BEL_IFRS17_GMM,PAA_CLOSING_CURRENT,,0,0,0,0
199.0,,,FCF_GMM,PAA_CLOSING_CURRENT,,0,0,0,0
199.0,,,RA_GMM,PAA_CLOSING_CURRENT,,0,0,0,0
199.0,,,LRC_LC,PAA_CLOSING_CURRENT,,0,0,0,0
199.0,,,LRC_P,PAA_CLOSING_CURRENT,,0,0,0,1206170
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,BEL_B_LIC,LIC_OPENING_CURRENT,,-267599,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,BEL_B_LIC_FX_IMPACT,LIC_OPENING_CURRENT,,0,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,BEL_B_VAR_LIC,LIC_OPENING_CURRENT,,0,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,BEL_B_VAR_LIC_FX_IMPACT,LIC_OPENING_CURRENT,,0,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,BEL_CUSTOM_OTHER_FUT_LIC,LIC_OPENING_CURRENT,,0,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,BEL_CUSTOM_OTHER_FUT_LIC_FX_IMPACT,LIC_OPENING_CURRENT,,0,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,BEL_CUSTOM_OTHER_LIC,LIC_OPENING_CURRENT,,0,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,BEL_CUSTOM_OTHER_LIC_FX_IMPACT,LIC_OPENING_CURRENT,,0,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,BEL_CUSTOM_OTHER_VAR_LIC,LIC_OPENING_CURRENT,,0,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,BEL_CUSTOM_OTHER_VAR_LIC_FX_IMPACT,LIC_OPENING_CURRENT,,0,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,BEL_E_FUT_LIC,LIC_OPENING_CURRENT,,0,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,BEL_E_FUT_LIC_FX_IMPACT,LIC_OPENING_CURRENT,,0,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,BEL_E_LIC,LIC_OPENING_CURRENT,,0,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,BEL_E_LIC_FX_IMPACT,LIC_OPENING_CURRENT,,0,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,BEL_E_VAR_LIC,LIC_OPENING_CURRENT,,0,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,BEL_E_VAR_LIC_FX_IMPACT,LIC_OPENING_CURRENT,,0,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,BEL_IC_LIC,LIC_OPENING_CURRENT,,0,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,BEL_IC_LIC_FX_IMPACT,LIC_OPENING_CURRENT,,0,0,0,0
201.0,BAF_BAH_Mort_Burial_2020_Remaining,,BEL_LIC,LIC_OPENING_CURRENT,,0,0,0,0
